"region","especie","timepoint","mort_total","mort_prim_depredadores","mort_prim_embrionaria","mort_prim_eliminacion","mort_prim_ambiental","mort_prim_sin_causa_aparente","mort_prim_secundaria","mort_prim_otras","mort_prim_desadaptado","mort_prim_deforme","mort_prim_dano_mecanico","mort_sec_vibrio","mort_sec_ipn","mort_sec_furunculosis_atipica","mort_sec_bkd","mort_sec_srs","mort_sec_isa","mort_sec_sit","mort_sec_yersiniosis","mort_sec_micosis","mort_sec_francisellosis","mort_sec_flavobacteriosis","mort_sec_amebiasis","mort_sec_sindrome_icterico","mort_sec_hsmi","mort_sec_tenacibaculosis","mort_sec_estreptococosis","mort_sec_ich","mort_sec_exofialosis","mort_sec_shs","mort_sec_nefrocalcinosis","mort_sec_real","mort_total_real","n_observaciones","pct_prim_depredadores","pct_prim_embrionaria","pct_prim_eliminacion","pct_prim_ambiental","pct_prim_sin_causa_aparente","pct_prim_secundaria","pct_prim_otras","pct_prim_desadaptado","pct_prim_deforme","pct_prim_dano_mecanico","pct_sec_vibrio","pct_sec_ipn","pct_sec_furunculosis_atipica","pct_sec_bkd","pct_sec_srs","pct_sec_isa","pct_sec_sit","pct_sec_yersiniosis","pct_sec_micosis","pct_sec_francisellosis","pct_sec_flavobacteriosis","pct_sec_amebiasis","pct_sec_sindrome_icterico","pct_sec_hsmi","pct_sec_tenacibaculosis","pct_sec_estreptococosis","pct_sec_ich","pct_sec_exofialosis","pct_sec_shs","pct_sec_nefrocalcinosis"
"X Región","Salmón Atlántico","Semana 14 - Abril 2024",124425,6079,0,11793,5632,1950,33810,20848,11934,3706,28249,0,0,3,103,23478,0,0,0,151,0,0,559,0,238,9254,0,0,5,0,19,33810,124001,904,4.90237981951759,0,9.51040717413569,4.54189885565439,1.57256796316159,27.265909145894,16.8127676389707,9.62411593454891,2.98868557511633,22.7812678930009,0,0,0.00887311446317657,0.304643596569062,69.4409937888199,0,0,0,0.446613427979888,0,0,1.6533569949719,0,0.703933747412008,27.3706004140787,0,0,0.0147885241052943,0,0.0561963916001183
"X Región","Salmón Atlántico","Semana 14 - Abril 2025",110629,943,0,9094,2757,1339,39927,12137,8150,2479,32696,0,0,0,40,27203,0,0,0,2817,0,0,0,0,0,9783,0,0,64,0,20,39927,109522,1408,0.86101422545242,0,8.30335457716258,2.51730245977977,1.22258541662862,36.4556892679096,11.0817917861252,7.44142729314658,2.26347217910557,29.8533627946897,0,0,0,0.10018283367145,68.1318406091116,0,0,0,7.05537606131189,0,0,0,0,0,24.502216545195,0,0,0.160292533874321,0,0.0500914168357252
"X Región","Salmón Atlántico","Semana 15 - Abril 2024",156067,3603,0,3951,47912,2431,33090,14086,13183,5438,31460,0,0,0,49,22425,0,0,205,18,0,0,1852,6,168,8339,0,0,19,0,9,33090,155154,897,2.32220890212305,0,2.54650218492594,30.8802866829086,1.56683037498228,21.3271974941026,9.0787217860964,8.49671938847854,3.50490480425899,20.2766283821236,0,0,0,0.148080991236023,67.7697189483227,0,0,0.61952251435479,0.0543970988213962,0,0,5.59685705651254,0.0181323662737987,0.507706255666364,25.2009670595346,0,0,0.0574191598670293,0,0.0271985494106981
"X Región","Salmón Atlántico","Semana 15 - Abril 2025",92105,260,0,6362,3786,1358,30310,19374,8512,2413,18680,0,0,0,67,16420,0,0,0,5056,0,0,3,0,0,8694,0,0,57,0,13,30310,91055,720,0.285541705562572,0,6.98698588765032,4.15792652792268,1.4914062928999,33.2875734446214,21.277250013728,9.34819614518698,2.65004667508649,20.5150733073417,0,0,0,0.2210491586935,54.1735400857803,0,0,0,16.680963378423,0,0,0.00989772352358958,0,0,28.6836027713626,0,0,0.188056746948202,0,0.0428901352688882
"X Región","Salmón Atlántico","Semana 16 - Abril 2024",239814,8540,0,4226,91361,2654,39620,43605,13017,4342,30358,0,0,0,134,23273,0,0,28,34,0,0,1258,1,568,14291,0,0,21,0,12,39620,237723,907,3.59241638377439,0,1.77769925501529,38.431704126231,1.11642541950085,16.6664563378386,18.3427770977146,5.47570071049078,1.82649554313213,12.7703251263025,0,0,0,0.338213023725391,58.7405350832913,0,0,0.0706713780918728,0.0858152448258455,0,0,3.17516405855628,0.00252397778899546,1.43361938414942,36.0701665825341,0,0,0.0530035335689046,0,0.0302877334679455
"X Región","Salmón Atlántico","Semana 16 - Abril 2025",140278,1835,0,5708,4707,1392,26709,66401,8264,2221,22161,0,0,0,63,16970,0,0,0,673,0,0,0,0,0,8903,0,0,85,0,15,26709,139398,729,1.316374696911,0,4.09475028336131,3.37666250591831,0.998579606594069,19.1602462015237,47.6341123975954,5.92834904374525,1.59327967402689,15.8976455903241,0,0,0,0.235875547568235,63.5366355909993,0,0,0,2.51974989703845,0,0,0,0,0,33.3333333333333,0,0,0.318244786401587,0,0.0561608446591037
"X Región","Salmón Atlántico","Semana 17 - Abril 2024",140309,12148,0,3282,16601,2200,33110,23151,14488,3901,29526,0,0,1,87,16928,0,0,0,7,0,0,475,1,612,14918,0,0,4,0,77,33110,138407,898,8.77701272334492,0,2.37126734919477,11.9943355466125,1.5895149811787,23.9222004667394,16.7267551496673,10.4676786578713,2.81849906435368,21.3327360610374,0,0,0.00302023557837511,0.262760495318635,51.1265478707339,0,0,0,0.0211416490486258,0,0,1.43461189972818,0.00302023557837511,1.84838417396557,45.0558743581999,0,0,0.0120809423135005,0,0.232558139534884
"X Región","Salmón Atlántico","Semana 17 - Abril 2025",89452,1879,0,5229,3504,1568,25335,20630,8708,2235,19490,0,0,0,302,16566,0,0,0,575,0,0,0,0,0,7821,0,0,60,0,11,25335,88578,741,2.12129422655738,0,5.90327169274538,3.9558355347829,1.77019124387545,28.6019101808575,23.2902075007338,9.83088351509404,2.52319989162094,22.0032062137325,0,0,0,1.19202684033945,65.3878034339846,0,0,0,2.26958752713637,0,0,0,0,0,30.8703374777975,0,0,0.236826524570752,0,0.0434181961713045
"X Región","Salmón Atlántico","Semana 18 - Mayo 2024",161592,9614,0,16702,22933,1827,29795,24881,14641,5226,34625,0,0,0,179,17812,0,0,0,4,0,0,167,2,398,11158,0,0,10,0,65,29795,160244,1796,5.99960060907117,0,10.4228551459025,14.3113002670927,1.14013629215446,18.5935198821797,15.5269464067297,9.13669154539328,3.26127655325628,21.6076732982202,0,0,0,0.60077194160094,59.7818425910388,0,0,0,0.0134250713206914,0,0,0.560496727638866,0.0067125356603457,1.33579459640879,37.4492364490686,0,0,0.0335626783017285,0,0.218157408961235
"X Región","Salmón Atlántico","Semana 18 - Mayo 2025",91452,1721,0,4153,1986,1359,30416,22835,7940,2138,17845,0,0,0,368,18989,0,0,0,190,0,0,0,0,0,10848,0,0,17,0,4,30416,90393,1496,1.90390848848915,0,4.59438230836459,2.19707278218446,1.50343500049783,33.6486232341,25.261911873707,8.78386600732358,2.36522739592668,19.7415729094067,0,0,0,1.20988953182536,62.4309573908469,0,0,0,0.6246712256707,0,0,0,0,0,35.6654392425039,0,0,0.0558916359810626,0,0.0131509731720147
